Year (Latin),Year (English),Event (Latin),Event (English)
731,23,"Nepos Augusti, nomine Marcellus, fīlius Octaviae quem Augustus volēbat post sē imperāre, mortuus est.","Augustus's nephew, Marcellus, son of Octavia, whom Augustus wanted to rule after him, dies."
733,21,"Filia Augusti, nomine Iulia, a Marco Agrippa in matrimonium ducta est.","Julia, the daughter of Augustus, marries Marcus Agrippa."
735,19,"Vergilius mortuus est. Post mortem Virgili, Augustus carmen epicum eius, Aeneidos, edidit.","Vergil dies. After his death, Augustus publishes Virgil's epic poem, the Aeneid."
735,19,Carmen nomine Ars Poetica ā Horatiō scriptum est.,Horace writes the poem Ars Poetica.
742,12,Marcus Agrippa morbo mortuus est,Marcus Agrippa dies of fever
743,11,"Filia Augusti, nomine Iulia, a Tiberio in matrimonium ducta est.","Julia, the daughter of Augustus, marries Tiberius."
743,11,Theatrum Marcellī aedificatum est.,The Theater of Marcellus is built.
745,9,Pannonia in provinciam Illyricum inclusit.,Pannonia is absorbed by the province of Illyricum.
746,8,"Q. Horatius Flaccus poeta, qui Carmen Saeculare scripserat, mortuus est.","The poet Horace who wrote the Carmen Saeculare, dies."
745,9,"Ultimus annus descriptus librō Liviī, Ab Urbe Condita.",The last year covered by Livy's Ab Urbe Condita.
748,6,"Tiberius ad īnsulam Rhodum abcessit, quia imperium noluit.","Tiberius, not wanting imperium, retires to the island of Rhodes."
752,2,"Augustus ""Pater Patriae"" ā senātū nōminātus est.","Augustus is declared ""Pater Patriae"" (Father of the Fatherland) by the senate."
